Complaint_Type,District,Created_Date,Descriptor
Illegal Parking,QUEENS,2013-10-31 02:01:04,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-30 23:20:57,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-30 23:20:26,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-30 23:01:49,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-30 22:33:28,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-30 22:31:22,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-30 21:46:18,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-30 21:27:13,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-30 21:22:34,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-30 21:10:54,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-30 21:09:34,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-30 20:43:31,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-30 20:38:18,Overnight Commercial Storage
Illegal Parking,QUEENS,2013-10-30 20:01:25,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-30 19:38:55,Detached Trailer
Illegal Parking,QUEENS,2013-10-30 19:34:15,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-30 19:24:29,Double Parked Blocking Vehicle
Illegal Parking,QUEENS,2013-10-30 19:12:19,Double Parked Blocking Traffic
Illegal Parking,QUEENS,2013-10-30 18:12:44,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-30 16:49:04,Posted Parking Sign Violation
